Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ክ,ke/k,k/ki,kə/kø,ke,kĕ,k/kə,kï,kɪ,ke,k,ke/k,k/ki,k@/ko,ke,ke,k/k@,ki,ki,ke,k
ኮ,ko,ko,ko,kō,ko,kʷo,ko,ko,ko,ko,ko,ko,ko,ko,ko,kwo,ko,ko,ko,ko
ኯ,,,,,,,,,,,,,,,,,,,,
ኰ,kwa,kwa,kuä,kua,kuă,kwå,kwe,kwə,kwa,kWe,kwa,kwa,kua,kua,kua,kwa,kwe,kw@,kwa,kwe
ኲ,kwi,kwī,kui,kuī,kui,kwi,kwi,kwi,kwi,kWi,kwi,kwi,kui,kui,kui,kwi,kwi,kwi,kwi,kwi
ኳ,kwā,kwā,kua,kuā,kua,kwa,kwä,kwa,kwā,kWa,kwa,kwa,kua,kua,kua,kwa,kwa,kwa,kwa,kwa
ኴ,kwé,kwē,kue,kuē,kue,kwe,kwe,kwe,kwē,kWE,kwe,kwe,kue,kue,kue,kwe,kwe,kwe,kwe,kwe
ኵ,kwe,kwi,kuə,kue,kuĕ,kwə/kwŭ,kwï,kwɪ,kwe,kW,kwe,kwi,ku@,kue,kue,kw@/kwu,kwi,kwi,kwe,kw
ⷈ,,,,,,,,,ḱa,‘ke,,,,,,,,,ka,'ke
ⷉ,,,,,,,,,ḱu,‘ku,,,,,,,,,ku,'ku
ⷊ,,,,,,,,,ḱi,‘ki,,,,,,,,,ki,'ki
ⷋ,,,,,,,,,ḱā,‘ka,,,,,,,,,ka,'ka
ⷌ,,,,,,,,,ḱē,‘kE,,,,,,,,,ke,'ke
ⷍ,,,,,,,,,ḱe,‘k,,,,,,,,,ke,'k
ⷎ,,,,,,,,,ḱo,‘ko,,,,,,,,,ko,'ko
ኸ,xa,kha,hä,,khă,hɑ,hä,hə,ḵa,Ke,xa,kha,ha,,kha,ha,ha,h@,ka,ke
ኹ,xu,khu,hu,,khu,hu,hu,hu,ḵu,Ku,xu,khu,hu,,khu,hu,hu,hu,ku,ku
ኺ,xi,khī,hi,,khi,hi,hi,hi,ḵi,Ki,xi,khi,hi,,khi,hi,hi,hi,ki,ki
ኻ,xā,khā,ha,,kha,ha,ha,ha,ḵā,Ka,xa,kha,ha,,kha,ha,ha,ha,ka,ka
ኼ,xé,khē,he,,khe,hʸe,he,he,ḵē,KE,xe,khe,he,,khe,hye,he,he,ke,ke
ኽ,xe/x,kh/khi,hə/hø,,khĕ,h/hə,hï,hɪ,ḵe,K,xe/x,kh/khi,h@/ho,,khe,h/h@,hi,hi,ke,k
ኾ,xo,kho,ho,,kho,hʷo,ho,ho,ḵo,Ko,xo,kho,ho,,kho,hwo,ho,ho,ko,ko
ዀ,,,,,,,,,ḵwa,KWe,,,,,,,,,kwa,kwe
ዂ,,,,,,,,,ḵwi,KWi,,,,,,,,,kwi,kwi
ዃ,,,,,,,hwä,,ḵwā,KWa,,,,,,,hwa,,kwa,kwa
ዄ,,,,,,,,,ḵwē,KWE,,,,,,,,,kwe,kwe
ዅ,,,,,,,,,ḵwe,KW,,,,,,,,,kwe,kw
ⷐ,,,,,,,,,h́a,Xe,,,,,,,,,ha,xe
ⷑ,,,,,,,,,h́u,Xu,,,,,,,,,hu,xu
ⷒ,,,,,,,,,h́i,Xi,,,,,,,,,hi,xi
ⷓ,,,,,,,,,h́ā,Xa,,,,,,,,,ha,xa
ⷔ,,,,,,,,,h́ē,XE,,,,,,,,,he,xe
ⷕ,,,,,,,,,h́e,X,,,,,,,,,he,x
ⷖ,,,,,,,,,h́o,Xo,,,,,,,,,ho,xo
ወ,wa,wa,wä,wa,wă,wå,wä,wə,wa,we,wa,wa,wa,wa,wa,wa,wa,w@,wa,we
ዉ,wu,wu,wu,wū,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu,wu
ዊ,wi,wī,wi,wī,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi,wi
ዋ,wā,wā,wa,wā,wa,wa,wa,wa,wā,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa,wa
ዌ,wé,wē,we,wē,we,wʸe,we,we,wē,wE,we,we,we,we,we,wye,we,we,we,we
ው,we/w,w/wi,wə/wø,we,wĕ,w/wə/wŭ,wï,wɪ,we,w,we/w,w/wi,w@/wo,we,we,w/w@/wu,wi,wi,we,w
ዎ,wo,wo,wo,wō,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo,wo
ዐ,ʻa,ā,ʿä,ʽa,ʿă,a,ä,a,ʻa,‘e,`a,a,'a,`a,'a,a,a,a,`a,'e
ዑ,ʻu,u,ʿu,ʽū,ʿu,u,u,u,ʻu,‘u/‘U,`u,u,'u,`u,'u,u,u,u,`u,'u/'u
ዒ,ʻi,ī,ʿi,ʽī,ʿi,i,i,i,ʻi,‘i,`i,i,'i,`i,'i,i,i,i,`i,'i
ዓ,ʻā,ā,ʿa,ʽā,ʿa,a,a,a,ʻā,‘A/‘a,`a,a,'a,`a,'a,a,a,a,`a,'a/'a
ዔ,ʻé,ē,ʿe,ʽē,ʿe,ʸe,e,e,ʻē,‘E,`e,e,'e,`e,'e,ye,e,e,`e,'e
ዕ,ʻe,i,ʿə/ʿø,ʽe,ʿĕ,ə,ï,ɪ,ʻe,‘I,`e,i,'@/'o,`e,'e,@,i,i,`e,'i
ዖ,ʻo,o,ʿo,ʽō,ʿo,ʷo,o,o,ʻo,‘o/‘O,`o,o,'o,`o,'o,wo,o,o,`o,'o/'o
ዘ,za,za,zä,za,ză,zɑ,zä,zə,za,ze,za,za,za,za,za,za,za,z@,za,ze
ዙ,zu,zu,zu,zū,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu,zu
ዚ,zi,zī,zi,zī,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi,zi
ዛ,zā,zā,za,zā,za,za,za,za,zā,za,za,za,za,za,za,za,za,za,za,za
ዜ,zé,zē,ze,zē,ze,zʸe,ze,ze,zē,zE,ze,ze,ze,ze,ze,zye,ze,ze,ze,ze
ዝ,ze/z,z/zi,zə/zø,ze,zĕ,z/zə,zï,zɪ,ze,z,ze/z,z/zi,z@/zo,ze,ze,z/z@,zi,zi,ze,z
ዞ,zo,zo,zo,zō,zo,zʷo,zo,zo,zo,zo,zo,zo,zo,zo,zo,zwo,zo,zo,zo,zo
ዟ,zwa,,,,,zwa,zwä,,zwā,zWa,zwa,,,,,zwa,zwa,,zwa,zwa
ዠ,ža,zha,žä,,jă,žä,zhä,žə,ža,Ze,za,zha,za,,ja,za,zha,z@,za,ze
ዡ,žu,zhu,žu,,ju,žu,zhu,žu,žu,Zu,zu,zhu,zu,,ju,zu,zhu,zu,zu,zu
ዢ,ži,zhī,ži,,ji,ži,zhi,ži,ži,Zi,zi,zhi,zi,,ji,zi,zhi,zi,zi,zi
ዣ,žā,zhā,ža,,ja,ža,zha,ža,žā,Za,za,zha,za,,ja,za,zha,za,za,za
ዤ,žé,zhē,že,,je,že,zhe,že,žē,ZE,ze,zhe,ze,,je,ze,zhe,ze,ze,ze
ዥ,že/ž,zh/zhi,žə/žø,,jĕ,ž/žə,zhï,žɪ,že,Z,ze/z,zh/zhi,z@/zo,,je,z/z@,zhi,zi,ze,z
ዦ,žo,zho,žo,,jo,žʷo,zho,žo,žo,Zo,zo,zho,zo,,jo,zwo,zho,zo,zo,zo
ዧ,žwa,,,,,žwa,zhwä,,žwā,ZWa,zwa,,,,,zwa,zhwa,,zwa,zwa
የ,ya,ya,yä,ja,jă,yä,yä,yə,ya,ye,ya,ya,ya,ja,ja,ya,ya,y@,ya,ye
ዩ,yu,yu,yu,jū,ju,yu,yu,yu,yu,yu,yu,yu,yu,ju,ju,yu,yu,yu,yu,yu
ዪ,yi,yī,yi,jī,ji,yi,yi,yi,yi,yi,yi,yi,yi,ji,ji,yi,yi,yi,yi,yi
ያ,yā,yā,ya,jā,ja,ya,ya,ya,yā,ya,ya,ya,ya,ja,ja,ya,ya,ya,ya,ya
ዬ,yé,yē,ye,jē,je,ye,ye,ye,yē,yE,ye,ye,ye,je,je,ye,ye,ye,ye,ye
ይ,ye/y,y/yi,yə/yø,je,jĕ,y/yə,yï,yɪ,ye,y,ye/y,y/yi,y@/yo,je,je,y/y@,yi,yi,ye,y
ዮ,yo,yo,yo,jō,jo,yo,yo,yo,yo,yo,yo,yo,yo,jo,jo,yo,yo,yo,yo,yo
ደ,da,da,dä,da,dă,dɑ,dä,də,da,de,da,da,da,da,da,da,da,d@,da,de
ዱ,du,du,du,dū,du,du,du,du,du,du,du,du,du,du,du,du,du,du,du,du
ዲ,di,dī,di,dī,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di,di
ዳ,dā,dā,da,dā,da,da,da,da,dā,da,da,da,da,da,da,da,da,da,da,da
ዴ,dé,dē,de,dē,de,dʸe,de,de,dē,dE,de,de,de,de,de,dye,de,de,de,de
ድ,de/d,d/di,də/dø,de,dĕ,d/də,dï,dɪ,de,d,de/d,d/di,d@/do,de,de,d/d@,di,di,de,d
ዶ,do,do,do,dō,do,dʷo,do,do,do,do,do,do,do,do,do,dwo,do,do,do,do
ዷ,dwa,,,,,dwa,dwä,,dwā,dWa,dwa,,,,,dwa,dwa,,dwa,dwa
ዸ,,,,,,,,,ḍa,De,,,,,,,,,da,de
ዹ,,,,,,,,,ḍu,Du,,,,,,,,,du,du
ዺ,,,,,,,,,ḍi,Di,,,,,,,,,di,di
ዻ,,,,,,,,,ḍā,Da,,,,,,,,,da,da
ዼ,,,,,,,,,ḍē,DE,,,,,,,,,de,de
ዽ,,,,,,,,,ḍe,D,,,,,,,,,de,d
ዾ,,,,,,,,,ḍo,Do,,,,,,,,,do,do
ዿ,,,,,,,,,ḍwā,DWa,,,,,,,,,dwa,dwa
ጀ,ǧa,ja,ǧä,,djă,ǧä,jä,jə,ǧa,je,ga,ja,ga,,dja,ga,ja,j@,ga,je
ጁ,ǧu,ju,ǧu,,dju,ǧu,ju,ju,ǧu,ju,gu,ju,gu,,dju,gu,ju,ju,gu,ju
ጂ,ǧi,jī,ǧi,,dji,ǧi,ji,ji,ǧi,ji,gi,ji,gi,,dji,gi,ji,ji,gi,ji
ጃ,ǧā,jā,ǧa,,dja,ǧa,ja,ja,ǧā,ja,ga,ja,ga,,dja,ga,ja,ja,ga,ja
ጄ,ǧé,jē,ǧe,,dje,ǧe,je,je,ǧē,jE,ge,je,ge,,dje,ge,je,je,ge,je
ጅ,ǧe/ǧ,j/ji,ǧə/ǧø,,djĕ,ǧ/ǧə,jï,jɪ,ǧe,j,ge/g,j/ji,g@/go,,dje,g/g@,ji,ji,ge,j
ጆ,ǧo,jo,ǧo,,djo,ǧʷo,jo,jo,ǧo,jo,go,jo,go,,djo,gwo,jo,jo,go,jo
ጇ,ǧwa,,,,,ǧwa,jwä,,ǧwā,jWa,gwa,,,,,gwa,jwa,,gwa,jwa
ገ,ga,ga,gä,ga,gă,gɑ,gä,gə,ga,ge,ga,ga,ga,ga,ga,ga,ga,g@,ga,ge
ጉ,gu,gu,gu,gū,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu,gu
ጊ,gi,gī,gi,gī,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi,gi
ጋ,gā,gā,ga,gā,ga,ga,ga,ga,gā,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga
ጌ,gé,gē,ge,gē,ge,gʸe,ge,ge,gē,gE,ge,ge,ge,ge,ge,gye,ge,ge,ge,ge
ግ,ge/g,g/gi,gə/gø,ge,gĕ,g/gə,gï,gɪ,ge,g,ge/g,g/gi,g@/go,ge,ge,g/g@,gi,gi,ge,g
ጎ,go,go,go,gō,go,gʷo,go,go,go,go,go,go,go,go,go,gwo,go,go,go,go
ጐ,gwa,gwa,guä,gua,guă,gwå,gwe,gwə,gwa,gWe,gwa,gwa,gua,gua,gua,gwa,gwe,gw@,gwa,gwe
ጒ,gwi,gwī,gui,guī,gui,gwi,gwi,gwi,gwi,gWi,gwi,gwi,gui,gui,gui,gwi,gwi,gwi,gwi,gwi
ጓ,gwā,gwā,gua,guā,gua,gwa,gwä,gwa,gwā,gWa,gwa,gwa,gua,gua,gua,gwa,gwa,gwa,gwa,gwa
ጔ,gwé,gwē,gue,guē,gue,gwe,gwe,gwe,gwē,gWE,gwe,gwe,gue,gue,gue,gwe,gwe,gwe,gwe,gwe
ጕ,gwe,gwi,guə,gue,guĕ,gwə/gwŭ,gwï,gwɪ,gwe,gW,gwe,gwi,gu@,gue,gue,gw@/gwu,gwi,gwi,gwe,gw
ⷘ,,,,,,,,,ǵa,‘ge,,,,,,,,,ga,'ge
ⷙ,,,,,,,,,ǵu,‘gu,,,,,,,,,gu,'gu
ⷚ,,,,,,,,,ǵi,‘gi,,,,,,,,,gi,'gi
ⷛ,,,,,,,,,ǵā,‘ga,,,,,,,,,ga,'ga
ⷜ,,,,,,,,,ǵē,‘gE,,,,,,,,,ge,'ge
ⷝ,,,,,,,,,ǵe,‘g,,,,,,,,,ge,'g
ⷞ,,,,,,,,,ǵo,‘go,,,,,,,,,go,'go
ጘ,,,,,,,,,g̣a,Ge,,,,,,,,,ga,ge
ጙ,,,,,,,,,g̣u,Gu,,,,,,,,,gu,gu
ጚ,,,,,,,,,g̣i,Gi,,,,,,,,,gi,gi
ጛ,,,,,,,,,g̣ā,Ga,,,,,,,,,ga,ga
ጜ,,,,,,,,,g̣ē,GE,,,,,,,,,ge,ge
ጝ,,,,,,,,,g̣e,G,,,,,,,,,ge,g
ጞ,,,,,,,,,g̣o,Go,,,,,,,,,go,go
ⶓ,,,,,,,,,g̣wa,GWe,,,,,,,,,gwa,gwe
ⶔ,,,,,,,,,g̣wi,GWi,,,,,,,,,gwi,gwi
ጟ,,,,,,,,,g̣wā,GWa,,,,,,,,,gwa,gwa
ⶕ,,,,,,,,,g̣wē,GWE,,,,,,,,,gwe,gwe
ⶖ,,,,,,,,,g̣we,GW,,,,,,,,,gwe,gw
ጠ,ṭa,ta,ṭä,ṭa,ṭă,ṭɑ,ṭä,Tə,ṭa,Te,ta,ta,ta,ta,ta,ta,ta,t@,ta,te
ጡ,ṭu,tu,ṭu,ṭū,ṭu,ṭu,ṭu,Tu,ṭu,Tu,tu,tu,tu,tu,tu,tu,tu,tu,tu,tu
ጢ,ṭi,tī,ṭi,ṭī,ṭi,ṭi,ṭi,Ti,ṭi,Ti,ti,ti,ti,ti,ti,ti,ti,ti,ti,ti
ጣ,ṭā,tā,ṭa,ṭā,ṭa,ṭa,ṭa,Ta,ṭā,Ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta
ጤ,ṭé,tē,ṭe,ṭē,ṭe,ṭʸe,ṭe,Te,ṭē,TE,te,te,te,te,te,tye,te,te,te,te
ጥ,ṭe/ṭ,t/ti,ṭə/ṭø,ṭe,ṭĕ,ṭ/ṭə,ṭï,Tɪ,ṭe,T,te/t,t/ti,t@/to,te,te,t/t@,ti,ti,te,t
ጦ,ṭo,to,ṭo,ṭō,ṭo,ṭʷo,ṭo,To,ṭo,To,to,to,to,to,to,two,to,to,to,to
ጧ,ṭwā,,,,,ṭwa,ṭwä,,ṭwā,TWa,twa,,,,,twa,twa,,twa,twa
ጨ,ċa,cha,č̣ä,,tch’ă,č̣ä,cḥä,Cə,č̣a,Ce,ca,cha,ca,,tch'a,ca,cha,c@,ca,ce
ጩ,ċu,chu,č̣u,,tch’u,č̣u,cḥu,Cu,č̣u,Cu,cu,chu,cu,,tch'u,cu,chu,cu,cu,cu
ጪ,ċi,chī,č̣i,,tch’i,č̣i,cḥi,Ci,č̣i,Ci,ci,chi,ci,,tch'i,ci,chi,ci,ci,ci
ጫ,ċā,chā,č̣a,,tch’a,č̣a,cḥa,Ca,č̣ā,Ca,ca,cha,ca,,tch'a,ca,cha,ca,ca,ca
ጬ,ċé,chē,č̣e,,tch’e,č̣e,cḥe,Ce,č̣ē,CE,ce,che,ce,,tch'e,ce,che,ce,ce,ce
ጭ,ċe/ċ,ch/chi,č̣ə/č̣ø,,tch’ĕ,č̣/č̣ə,cḥï,Cɪ,č̣e,C,ce/c,ch/chi,c@/co,,tch'e,c/c@,chi,ci,ce,c
ጮ,ċo,cho,č̣o,,tch’o,č̣ʷo,cḥo,Co,č̣o,Co,co,cho,co,,tch'o,cwo,cho,co,co,co
ጯ,ċwā,,,,,č̣wa,cḥwä,,č̣wā,CWa,cwa,,,,,cwa,chwa,,cwa,cwa
ጰ,p̣a,p̣a,ṗä,p̣a,p̣ă,p̣ɑ,p̣ä,Pə,p̣a,Pe,pa,pa,pa,pa,pa,pa,pa,p@,pa,pe
ጱ,p̣u,p̣u,ṗu,p̣ū,p̣u,p̣u,p̣u,Pu,p̣u,Pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu
ጲ,p̣i,p̣ī,ṗi,p̣ī,p̣i,p̣i,p̣i,Pi,p̣i,Pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi
ጳ,p̣ā,p̣ā,ṗa,p̣ā,p̣a,p̣a,p̣a,Pa,p̣ā,Pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa
ጴ,p̣é,p̣ē,ṗe,p̣ē,p̣e,p̣ʸe,p̣e,Pe,p̣ē,PE,pe,pe,pe,pe,pe,pye,pe,pe,pe,pe
ጵ,p̣e/p̣,p̣/p̣i,ṗə/ṗø,p̣e,p̣ĕ,p̣/p̣ə,p̣ï,Pɪ,p̣e,P,pe/p,p/pi,p@/po,pe,pe,p/p@,pi,pi,pe,p
ጶ,p̣o,p̣o,ṗo,p̣ō,p̣o,p̣ʷo,p̣o,Po,p̣o,Po,po,po,po,po,po,pwo,po,po,po,po
ጷ,,,,,,,,,p̣wā,PWa,,,,,,,,,pwa,pwa
ጸ,ṣa,tsa,ṣä,ṣa,ṣă,ṣɑ,ṣä,Sə,ṣa,Se,sa,tsa,sa,sa,sa,sa,sa,s@,sa,se
ጹ,ṣu,tsu,ṣu,ṣū,ṣu,ṣu,ṣu,Su,ṣu,Su,su,tsu,su,su,su,su,su,su,su,su
ጺ,ṣi,tsī,ṣi,ṣī,ṣi,ṣi,ṣi,Si,ṣi,Si,si,tsi,si,si,si,si,si,si,si,si
ጻ,ṣā,tsā,ṣa,ṣā,ṣa,ṣa,ṣa,Sa,ṣā,Sa,sa,tsa,sa,sa,sa,sa,sa,sa,sa,sa
ጼ,ṣé,tsē,ṣe,ṣē,ṣe,ṣʸe,ṣe,Se,ṣē,SE,se,tse,se,se,se,sye,se,se,se,se
ጽ,ṣe/ṣ,ts/tsi,ṣə/ṣø,ṣe,ṣĕ,ṣ/ṣə,ṣï,Sɪ,ṣe,S,se/s,ts/tsi,s@/so,se,se,s/s@,si,si,se,s
ጾ,ṣo,tso,ṣo,ṣō,ṣo,ṣʷo,ṣo,So,ṣo,So,so,tso,so,so,so,swo,so,so,so,so
ጿ,ṣwā,,,,,ṣwa,ṣwä,,ṣwā,SWa,swa,,,,,swa,swa,,swa,swa
ፀ,ṡa,tsa,ṣä/ẓä,ḍa,ḍă,ṣɑ,ṣä,Sə,c̣a,‘Se,sa,tsa,sa/za,da,da,sa,sa,s@,ca,'se
ፁ,ṡu,tsu,ṣu/ẓu,ḍū,ḍu,ṣu,ṣu,Su,c̣u,‘Su,su,tsu,su/zu,du,du,su,su,su,cu,'su
ፂ,ṡi,tsī,ṣi/ẓi,ḍī,ḍi,ṣi,ṣi,Si,c̣i,‘Si,si,tsi,si/zi,di,di,si,si,si,ci,'si
ፃ,ṡā,tsā,ṣa/ẓa,ḍā,ḍa,ṣa,ṣa,Sa,c̣ā,‘Sa,sa,tsa,sa/za,da,da,sa,sa,sa,ca,'sa
ፄ,ṡé,tsē,ṣe/ẓe,ḍē,ḍe,ṣʸe,ṣe,Se,c̣ē,‘SE,se,tse,se/ze,de,de,sye,se,se,ce,'se
ፅ,ṡe/ṡ,ts/tsi,ṣə/ṣø/ẓə/ẓø,ḍe,ḍĕ,ṣ/ṣə,ṣï,Sɪ,c̣e,‘S,se/s,ts/tsi,s@/so/z@/zo,de,de,s/s@,si,si,ce,'s
ፆ,ṡo,tso,ṣo/ẓo,ḍō,ḍo,ṣʷo,ṣo,Sə,c̣o,‘So,so,tso,so/zo,do,do,swo,so,s@,co,'so
ፈ,fa,fa,fä,fa,fă,fɑ,fä,fə,fa,fe,fa,fa,fa,fa,fa,fa,fa,f@,fa,fe
ፉ,fu,fu,fu,fū,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
ፊ,fi,fī,fi,fī,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi,fi
ፋ,fā,fā,fa,fā,fa,fa,fa,fa,fā,fa,fa,fa,fa,fa,fa,fa,fa,fa,fa,fa
ፌ,fé,fē,fe,fē,fe,fʸe,fe,fe,fē,fE,fe,fe,fe,fe,fe,fye,fe,fe,fe,fe
ፍ,fe/f,f/fi,fə/fø,fe,fĕ,f/fə,fï,fɪ,fe,f,fe/f,f/fi,f@/fo,fe,fe,f/f@,fi,fi,fe,f
ፎ,fo,fo,fo,fō,fo,fʷo,fo,fo,fo,fo,fo,fo,fo,fo,fo,fwo,fo,fo,fo,fo
ᎈ,,,,,,fwa,fwä,,fwa,fWe,,,,,,fwa,fwa,,fwa,fwe
ᎉ,,,,,,,,,fwi,fWi,,,,,,,,,fwi,fwi
ፏ,fwā,,,,,,,,fwā,fWa,fwa,,,,,,,,fwa,fwa
ᎊ,,,,,,,,,fwē,fWE,,,,,,,,,fwe,fwe
ᎋ,,,,,,,,,fwe,fW,,,,,,,,,fwe,fw
ፐ,pa,pa,pä,pa,pă,pɑ,pä,pə,pa,pe,pa,pa,pa,pa,pa,pa,pa,p@,pa,pe
ፑ,pu,pu,pu,pū,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu,pu
ፒ,pi,pī,pi,pī,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi
ፓ,pā,pā,pa,pā,pa,pa,pa,pa,pā,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa
ፔ,pé,pē,pe,pē,pe,pʸe,pe,pe,pē,pE,pe,pe,pe,pe,pe,pye,pe,pe,pe,pe
ፕ,pe/p,p/pi,pə/pø,pe,pĕ,p/pə,pï,pɪ,pe,p,pe/p,p/pi,p@/po,pe,pe,p/p@,pi,pi,pe,p
ፖ,po,po,po,pō,po,pʷo,po,po,po,po,po,po,po,po,po,pwo,po,po,po,po
ᎌ,,,,,,,,,pwa,pWe,,,,,,,,,pwa,pwe
ᎍ,,,,,,,,,pwi,pWi,,,,,,,,,pwi,pwi
ፗ,,,,,,,,,pwā,pWa,,,,,,,,,pwa,pwa
ᎎ,,,,,,,,,pwē,pWE,,,,,,,,,pwe,pwe
ᎏ,,,,,,,,,pwe,pW,,,,,,,,,pwe,pw
ፘ,rya,,,,,rya,rya,,~ri,,rya,,,,,rya,rya,,~ri,
ፙ,mya,,,,,mya,,,~mA,,mya,,,,,mya,,,~ma,
ፚ,fya,,,,,fya,,,~fi,,fya,,,,,fya,,,~fi,
